"target","fips","samplesize","p1","p2","p3","p4","p5","p6","p7","p8","cverror1","cverror2","cverror3","cverror4","cverror5","cverror6","cverror7","cverror8","MSEout1","MSEout2","MSEout3","MSEout4","MSEout5","MSEout6","MSEout7","MSEout8","MSEoutSA","MSEttest1","MSEttest2","MSEttest3","MSEttest4","MSEttest5","MSEttest6","MSEttest7","MSEttest8"
1,71,128,0,0,"0","0","0",0,1,0,-9553.65854259288,-2203.48290630195,-4714.9272739126,-361.909874094301,-6196.83314561299,-6196.83314561299,2.34278254739764e+20,-9523.38078831635,22458.9822603082,27572.8407710661,25617.0821371262,29072.1717531266,24099.7371720494,24099.7371720494,1.25393322823103e+20,22469.965804576,35131.8648402429,6.70205297046611e-27,2.2736379168224e-24,3.16752042204492e-30,7.47849905524248e-21,1.10330611193813e-30,1.10330611193813e-30,1.26718171695011e-94,6.10434617353266e-27
1,71,256,0,0,"0","0","0",0,1,0,-7877.51614495645,-5870.04943429677,-5800.06093291261,-3843.15397250341,-7346.09421221496,-7346.09421221496,1.29140061488072e+20,-7874.21475731194,21775.2561252734,27909.9909789105,25993.6439728997,29632.2738271563,24183.6830855554,24183.6830855554,63130474820677697536,21782.378199381,35855.4256184115,1.34611804254562e-35,6.05563668556003e-27,2.38563429803652e-33,4.23685536608855e-22,3.11302207005092e-34,3.11302207005092e-34,1.6592570306601e-90,1.28893207526473e-35
1,72,16,0.0846,0,"2e-04","0","0.0709",0.0709,0.9918,0.0082,-2391.85512727236,-1573.79384431091,-1939.31129860077,-253.274468855257,-2163.41203567448,-2163.41203567448,3606505207556.84,-2493.74330859963,674.878949310607,2984.25022729662,2674.46352287876,2984.25022729662,2072.20372460646,2072.20372460646,3901431993215.62,611.625260806824,6732.80875997461,1.67020068853455e-74,1.03456621502695e-78,3.3607745222442e-80,1.03456621502695e-78,1.56196570942668e-78,1.56196570942668e-78,2.31153990157676e-87,9.94482379996784e-76
1,72,32,0,0,"0","0","0",0,1,0,-5698.86954876648,-3255.94860423668,-4023.99375982234,-3255.94860423668,-4482.4432770969,-4482.4432770969,23212071146951528448,-5654.25210103366,622.166794075786,2814.96918598918,2501.55883882419,2814.96918598918,1913.15005308407,1913.15005308407,10303698385783793664,564.918318519633,6321.21717964775,2.89598758965903e-68,1.90654105225478e-74,2.15778829168664e-75,1.90654105225478e-74,5.40646843223526e-74,5.40646843223526e-74,8.32677619637063e-83,4.00101168008664e-69
1,72,64,0,0,"0","0","0",0,1,0,-6525.93581973375,-4179.13330819261,-4264.41456601622,-4179.13330819261,-4931.34864394484,-4931.34864394484,1403369537866417408,-6527.40978208243,580.169755108424,3029.02637708568,2702.19247512587,3029.02637708568,2073.1360937745,2073.1360937745,1.72585260564537e+20,581.339589226795,6786.97930116419,1.52159052159943e-74,9.1353873569229e-80,1.88061669394135e-80,9.1353873569229e-80,1.86720564689217e-79,1.86720564689217e-79,3.45429569086021e-91,9.21197123361929e-75
1,72,128,0,0,"0","0","0",0,1,0,-3205.52978803486,-1891.54456239066,-2199.7025611919,-1891.54456239066,-2544.86458607905,-2544.86458607905,36819355684661137408,-3199.21655497734,591.452220381425,2881.73081320916,2569.53828727738,2881.73081320916,1987.21909996738,1987.21909996738,365216385488562240,594.10443129535,6447.17895101261,5.04329564753882e-89,2.97177204527111e-94,3.00262826707087e-98,2.97177204527111e-94,6.60102980240328e-97,6.60102980240328e-97,3.49146724089792e-94,5.54844476708065e-89
1,73,16,0.9425,0.9898,"0.9857","0.999","0.2439",0.2439,0.9898,0.3438,42310.6432966552,3378.5346642559,4952.41554176629,4158.82760113726,5038.60777944567,4987.28034647582,2616650645018520,35172.9914780705,26723.9741565293,30154.2327413836,27154.1120959414,25789.1749815612,25414.8272615055,25414.8272615055,5624928844533820,26157.4144826914,28501.7135431536,0.00323122019283967,1.34333621163854e-06,0.00335818372651548,2.52712249961411e-05,1.70495837058762e-05,1.70495837058762e-05,1.95991689720989e-121,7.11545503945183e-05
1,73,32,0.1052,0,"0","0","0",0,1,0,23211.5550519384,-334.119808812022,-909.935169323828,-909.935169323828,9027.39432774709,9027.39432774709,47431503636762574848,21993.0806774601,28787.5514540515,24973.8166271233,24973.8166271233,24973.8166271233,24973.8166271233,24973.8166271233,1733429981682087168,28589.009513627,27709.7204706463,0.293456104010291,1.02154182571098e-05,1.02154182571098e-05,1.02154182571098e-05,1.02154182571098e-05,1.02154182571098e-05,1.70972728846883e-87,0.38651901535751
1,73,64,0,0,"0","0","0",0,1,0,-8105.23593335145,-2396.29985587926,-3473.7884227927,-5760.26586501295,-5621.21460422459,-5222.13096520797,3.45102499573297e+20,-8047.58487353512,23785.0560507692,28491.9928029232,27003.4117223444,25482.3837864022,25183.313854409,24906.2327616209,1.99830220616087e+20,23796.8065963975,28758.006014092,4.71656957704447e-11,0.374717561842702,4.65038655782045e-10,3.93329245803353e-17,1.21139015505867e-20,8.90939944458048e-16,2.47991971527742e-93,3.42427260074768e-11
1,73,128,0,0,"0","0","0",0,1,0,-2900.24670504019,-3167.61409285549,-3057.61009090826,-3167.61409285549,-2630.00639693332,-3931.70978034079,52791918362675937280,-2923.46254285871,22845.5508651054,25692.9411578446,25692.9411578446,25692.9411578446,25564.0365085852,23519.7114726791,16229130951491637248,22851.1735764273,27467.0886680463,1.89156872802052e-10,0.00715185684670702,0.00715185684670702,0.00715185684670702,0.00805280947708989,5.07134487420953e-14,6.32788235277236e-102,1.88408716453917e-10
1,73,256,0,0,"0","0","0",0,1,0,-12450.0077155943,-731.013788929697,-7632.17123571835,-7632.17123571835,-7661.82045112539,-7768.5436019805,89845240139013570560,-12449.1851153802,22172.3454327797,24228.4911118146,23927.5049993342,23927.5049993342,23606.3026933864,22755.1217632695,1.5347971452059e+20,22167.8108222582,27470.318773488,2.26434658140913e-09,1.4817201289386e-06,2.81661399173714e-17,2.81661399173714e-17,2.31169074900398e-22,5.360111063861e-18,4.04678163331649e-94,2.11790838772211e-09
1,74,16,0.0159,2e-04,"0.0032","0","0.0029",0.0029,0.9918,0.0088,-4114.98326547308,-2904.79431953904,-3684.55788691533,-2343.71101639521,-3762.84523781772,-3762.84523781772,140170697844246,-4188.38117170183,558.611231978935,956.429744362362,613.772031572263,1210.42164953001,562.381432171102,562.381432171102,873284736632865,407.200042725583,2557.09058212503,9.40424781615984e-64,4.58274303832026e-84,3.84171122533113e-80,3.0726717908423e-81,6.43054005680015e-77,6.43054005680015e-77,4.14032867194758e-93,3.14727330110692e-73
1,74,32,0,0,"0","0","0",0,1,0,-2449.47048867643,-2361.54152200324,-2569.58139994809,-1844.4659260756,-2674.073025399,-2674.073025399,49132881163325904,-2472.01235600343,417.529446567668,1010.9867413478,606.665348206054,1010.9867413478,543.752223562013,543.752223562013,8465217119439.41,352.636743130715,2468.06452642712,1.80435434043563e-68,2.24593993735577e-69,2.1785322585572e-77,2.24593993735577e-69,8.82522209803499e-76,8.82522209803499e-76,3.83481960510661e-81,2.03201192513688e-73
1,74,64,0,0,"0","0","0",0,1,0,-1750.71295291339,-1232.81892133121,-1491.59085715376,-1026.17369987902,-1565.93452733135,-1565.93452733135,46560226621536464,-1749.9172109023,331.807793094842,954.440783904269,599.190871141609,1195.83887283793,529.187270874629,529.187270874629,742199112602302,328.056305787146,2547.43704713574,3.66482374119954e-71,3.44608652428382e-74,5.22721260797256e-72,9.46638601144198e-74,4.45095307447131e-70,4.45095307447131e-70,1.94257136672586e-86,1.87894900849915e-71
1,75,16,0.1274,0.1278,"0.1278","0","0.1278",0.1278,0.9898,0.7281,-79289.3503126074,-8852.53566827599,-8097.78723822288,1743.42816943841,-8097.78723822288,-8097.78723822288,539378309504152512,-73235.5838717726,23214.3946089676,46596.630426707,46596.630426707,52601.1048687927,46596.630426707,46596.630426707,1.70785181229814e+21,22897.846571273,71136.4340400882,2.6651273312586e-46,6.73130082092452e-51,6.73130082092452e-51,1.18860261897736e-60,6.73130082092452e-51,6.73130082092452e-51,4.14581295410304e-111,3.59471394560853e-47
1,75,32,0,0,"0","0","0",0,1,0,-87929.0124086785,-27939.5226868829,-27939.5226868829,-35352.9091444998,-27375.7746971335,-27375.7746971335,409067259631588800,-87957.9724428013,20975.5900816642,48751.4313181722,45986.1399817657,47100.6228473103,46977.8304097265,46977.8304097265,1627084748697952000,20844.7665841775,73159.6974838572,6.90561706870225e-52,2.24691774562613e-51,2.78763528646785e-58,4.81180985155961e-57,8.64497879885415e-51,8.64497879885415e-51,2.56083448750484e-87,3.55722611365731e-52
1,75,64,0,0,"0","0","0",0,1,0,-18392.3335094257,-8822.59517959845,-8822.59517959845,-7994.99732009322,-8822.59517959845,-8822.59517959845,8745434214959201280,-18410.4912992647,20172.1512842758,45721.8534550079,45721.8534550079,47661.1678561717,45721.8534550079,45721.8534550079,1728298909182958592,20144.0236303651,71967.778475903,2.14366187730614e-52,4.82477779302518e-51,4.82477779302518e-51,2.41140594580926e-52,4.82477779302518e-51,4.82477779302518e-51,5.35188003813844e-87,1.75849021677906e-52
1,75,128,0,0,"0","0","0",0,1,0,-104739.830147021,-53496.2560133862,-42461.4056700844,-43296.7686006773,-42461.4056700844,-42461.4056700844,3.08220023376037e+21,-104706.802123991,19436.2036542397,43447.9380674517,43447.9380674517,44822.319760661,43447.9380674517,43447.9380674517,1.74628014731009e+20,19422.0276265042,70032.8079325287,1.6713596905002e-47,1.70213491777797e-46,1.70213491777797e-46,7.20607424929089e-50,1.70213491777797e-46,1.70213491777797e-46,9.31829650916588e-92,1.50188168537006e-47
1,76,16,0.9944,0.0077,"0.5776","0.4864","0.5776",0.5776,0.9827,0.988,-362562.913458223,-633562.738110336,-661462.245783992,-466999.132510641,-661462.245783992,-661462.245783992,1.51424555683517e+23,-348511.935840506,510318.37045435,625340.081106786,560397.856256673,747370.050286848,560397.856256673,560397.856256673,5.99848624855181e+22,513146.587726352,867423.651433329,7.11378517285574e-18,4.22975346639796e-40,1.82478234092322e-51,3.84301916353613e-14,1.82478234092322e-51,1.82478234092322e-51,1.96747360014661e-163,1.66026240065422e-17
1,76,32,0.7266,0.0025,"0.087","0","0.8524",0.8524,1,0.6664,-389943.051153921,-164272.361663899,-33848.9674784037,78894.8060009037,-44545.7482770219,-44545.7482770219,2.93783340440193e+23,-390293.936123356,487476.700278072,567941.716135222,504491.875472135,692210.208406176,520447.760340414,520447.760340414,4.16250337729088e+23,488170.011327213,793483.640386342,2.43160095384157e-17,2.75262553373368e-43,1.64308946152085e-57,2.68746000542471e-16,1.25265050137739e-21,1.25265050137739e-21,7.55116023763397e-182,3.22415041260829e-17
