"target","fips","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,72,28,88.2813772861172,40,47.3827160493827,35.92,0,0,"0"
1,73,12,69712.3879289694,36931.8742032676,33056.3148148148,34880.8101851852,0.7122,0.4165,"0.0032"
1,73,16,47615.2457810959,30619.841440355,29872.615625,33298.1305555556,0.9667,0.1235,"0.0089"
1,73,20,61637.4571156803,37945.7487224589,32067.1796875,34413.9739583333,0.9791,0.9679,"0.6112"
1,73,24,6230.56677248644,6790.38533870481,7113.19444444444,7075.65277777778,4e-04,0.3444,"0.2799"
1,73,28,5337.34249080626,4884.99045642685,4536.4921875,4350.47222222222,3e-04,0.0035,"0.0056"
1,74,12,6100.67196165705,488.12,3811.89777777778,3295.4064,0.994,0.9867,"0.8962"
1,74,16,5613.83948195108,496.285714285715,4464.88888888889,3853.48380952381,0.912,0.9102,"0.1251"
1,74,20,149.549801250443,75.7647058823529,120.580882352941,100.449411764706,0.0011,2e-04,"0"
1,74,24,43.5725450229154,51.8461538461539,81.8701923076923,67.3476923076923,3e-04,0,"0"
1,74,28,27.9547307844319,25.2222222222222,24.3333333333333,25.2133333333333,0,0,"0"
1,75,12,341385.908842457,118731.056921603,114093.096666667,103679.49537037,0.9919,0.9935,"0.9965"
1,75,16,86482.2151611852,107895.583899801,157932.85,120812.223611111,0.6667,0.8829,"0.949"
