1,1,16,32599.2205382454,20674.0835669939,21876.587962963,24127.1587500001,2e-04,0,2e-04
1,2,16,219.089604610586,160.958773148157,164.848958333333,152.626543209876,0,0,0
1,3,16,40011.059044994,16474.8782685955,24276.7812500001,19552.4908333333,5e-04,2e-04,2e-04
1,4,16,36511.8727083842,2118.81619945174,1991.25240384615,1739.99459134615,0,0,0
1,5,16,63656820.2169703,138464.678773394,159057.411835749,118926.073043478,0.9167,0,0.9167
1,6,16,28701.0977639818,12841.1565290295,11716.7634782608,10267.5013043478,0,0,0
1,7,16,9641969.85766361,2825.96947547719,1397.19565217391,1332.10312612289,0.8435,0,0
1,8,16,1334.83589018117,677.532884251786,510.969907407409,526.093106995886,1e-04,3e-04,4e-04
1,9,16,1479.38150693421,33.4757580185343,47.5407407407406,39.6006944444444,0.9736,0,0
1,10,16,22200.957133936,26701.8731285168,14355.4594907407,10367.9720833334,0,0,2e-04
1,11,16,226930.288448096,175477.77523268,165624.165555554,186577.1524,0,0,0
1,13,16,492.004486392886,141.884933280539,144.236666666667,150.629557291667,1e-04,2e-04,4e-04
1,14,16,1432.89676923326,449.280421349395,323.279100529102,306.330972058244,8e-04,2e-04,2e-04
1,15,16,146982.185017878,19796.8382018657,13796.1381818181,13703.7081141999,0.8413,0,0
1,18,16,20406.3277832204,7276.7742864669,7427.36833333332,7038.41975308643,0,0,0
1,19,16,62623.6682457981,69109.9148623197,68297.198095238,68852.6623809522,0.917,0,0
1,20,16,68877.611936157,872.314340808231,941.782407407416,939.311294765834,0.8392,0,0
1,21,16,288.031867645948,256.426624329334,245.552631578947,253.430000000001,0,0,0
1,23,16,7539.38137937041,2667.62075613635,2151.59208333337,2112.75447658403,0,0,0
1,24,16,144226.391248866,23551.0541726914,19572.5439814816,14661.0756172841,0.9563,0,0
1,26,16,17788.1862773748,1228.20514234636,1404.92614188533,1462.54663518299,0,0,0
1,27,16,284294.153790193,19754.982188553,22419.763888889,22400.1748971195,0.9606,0,0
1,29,16,11388.004445234,5660.87182239682,5356.91414141415,7078.38045454542,0,0,0
1,30,16,4472.66474879367,2028.86539688662,1534.312,1403.76429752067,1e-04,4e-04,1e-04
1,31,16,1055.97015438629,143.464802756921,148.43203125,144.243388429753,0,0,0
1,32,16,12117.5175471423,11809.3023986009,4524.76444444442,4253.24519999996,0.9989,0.9974,0
1,33,16,1238.58358207102,744.822999111293,695.018464528671,599.923652105467,0,0,0
1,34,16,743411.916521094,NA,210163.49125,210162.432592589,0.6474,NA,0
1,35,16,34838.3781233531,7677.13929268096,5216.87560386479,4062.58102766796,0,0,0
1,36,16,2669.65093920911,520.940608282152,435.048245614036,504.986315789473,0,0,0
1,39,16,166947.173181982,142800.84586995,138225.335978836,133601.79,0.9175,0,0
1,40,16,5105.1812668369,2052.39281064249,2083.30972222222,1892.529,0,0,0
1,41,16,92909.1328916202,28506.999338766,37638.5533333335,32951.1051999998,0,0,0
1,42,16,502.766395164637,175.96875,348.0625,273.381944444445,0.072,0.1306,0.2082
1,43,16,753.583018323792,564.219887016317,522.616883116886,498.266716754321,0,0,0
1,45,16,1465.09053609229,339.065784181073,237.451388888888,305.495999999999,0,0,0
1,46,16,27345.8243777979,24654.1415725884,22265.8796296296,24513.9300411522,0,0,0
1,48,16,4853.74226784802,281.269324557873,202.543323863636,219.418636363635,0.9165,0,0
1,49,16,19.233830426463,19.3369237395494,20.285,21.0385802469135,0,0,0
1,50,16,0.318677978767998,0.293666666666664,0.275,0.270370370370371,0.2979,0.644,0.7247
1,51,16,389060.895008349,82866.8947642867,69313.6048,65776.849382716,0,0,0
1,52,16,54786.0732634055,5117.90279704971,5234.28000000003,8093.06419753089,0,0,0
1,53,16,4202.07247862031,3773.72392137975,3834.4290909091,3635.69158527423,0,6e-04,2e-04
1,54,16,192614.726733957,3323.6596844463,4771.36461538459,5681.01092117763,0.9587,0,0
1,55,16,648.089873669652,153.678355069839,161.596354166667,126.651234567901,0,0,0
2,1,16,123822.723219157,88735.2565018453,87991.6446759258,99622.2354166666,3e-04,7e-04,8e-04
2,2,16,1314.50225032371,151.698091316256,180.65162037037,185.742283950617,0,0,0
2,3,16,81857.2780608039,55275.9503789818,83423.8854166666,77570.4429166667,3e-04,4e-04,5e-04
2,4,16,19594.5531087799,9978.22502608905,9716.35576923077,8271.19651442308,0,0,0
2,5,16,600497.326427839,582608.72006132,910381.600543478,488948.38695652,0,0,0
2,7,16,38078045.6491939,13422.7220060219,4990.95521739131,4602.05461731943,0.8353,0,0
2,9,16,240.996129673334,248.952055425412,175.597222222222,122.107638888889,0,0,0.9803
2,10,16,257969.54193625,NA,79824.2245370368,49800.7308333336,0.0011,NA,0.0018
2,13,16,1305.03224507708,367.373724430793,340.705,331.287760416667,1e-04,3e-04,1e-04
2,14,16,6671.50989886257,1306.26472964852,1052.65500485909,979.225895316803,6e-04,8e-04,7e-04
2,15,16,1589599.09523853,89728.4291110703,50246.6711647727,53213.8054094663,0.845,0.001,3e-04
2,17,16,90234.4348793917,25530.7594826122,27389.380952381,24957.0515545061,0.0015,0.0011,9e-04
2,18,16,33797.9734138527,20523.6796857475,16259.1133333333,14727.3235596708,0,0,0
2,20,16,8416.6612869643,2465.12426648768,1858.84765625,2162.47038567491,0,0,0
2,21,16,718.181375177112,792.280271163647,793.180098684211,804.261052631579,0,0,0
2,22,16,229220.770176176,5801.81597926219,4428.06114130435,3832.71254042404,0.8521,0,0
2,23,16,33449.4121073125,15364.213742718,14506.3430989583,10805.6663223141,0,0,0
