,X,Year,Actual,Forecaster15,Forecaster16,Forecaster24,Forecaster37,Forecaster39,Forecaster89,Forecaster93,Forecaster94,Forecaster95,targettime,predtime,aheadtime
198,2017_2016Q2,1,1.533333333,1.4,1,1.34,1.4,1.4,1.8858,1.5,1.542,1.313,2017,2016Q2,Q2_1
199,2017_2016Q3,1,1.533333333,1.3,1.1,1.18,1.6,1.3,1.529047615,1.5,1.3,1.304846774,2017,2016Q3,Q3_1
200,2017_2016Q4,1,1.533333333,1.3,0.9,1.27,1.3,1.3,1.4,0.8,1.3,0.631949763,2017,2016Q4,Q4_1
201,2017Dec_2016Q1,1,1.3,1.7,1.4,1.91,1.7,1.6,1.6,1.8,1.9,1.7575,2017Dec,2016Q1,Q1_DEC
202,2017Jun_2015Q3,2,1.3,1.7,0.9,1.673640167,1.7,1.4,1.5,1.7,2,1.585,2017Jun,2015Q3,Q3_JUN_2
203,2017Jun_2016Q3,1,1.3,1.4,1.1,1.054107055,1.8,1.3,1.5,1.1,1.2,0.887566017,2017Jun,2016Q3,Q3_JUN
204,2017Mar_2015Q2,2,1.5,1.7,1.1,1.5,1.5,1.4,1.5,1.8,2,1.1055,2017Mar,2015Q2,Q2_MAR_2
205,2017Mar_2016Q2,1,1.5,1.4,0.8,1.863,1.4,1.4,2.0337,0.8,0.924,1.12,2017Mar,2016Q2,Q2_MAR
206,2017Sep_2015Q4,2,1.6,1.8,0.9,1.6736,1.8,1.5,1.6,1.8,2,1.585,2017Sep,2015Q4,Q4_SEP_2
207,2017Sep_2016Q4,1,1.6,1.3,1,1.406889211,1.2,1.3,1.5,0.9,1.5,0.826036084,2017Sep,2016Q4,Q4_SEP
208,2018_2016Q1,2,1.758333333,1.8,1.3,1.9,2,1.7,1.5,2,1.9,1.7565,2018,2016Q1,Q1_2
209,2018_2016Q2,2,1.758333333,1.7,1.1,1.9,2.2,1.5,1.4446,1.8,1.915,1.666,2018,2016Q2,Q2_2
210,2018_2016Q3,2,1.758333333,1.7,1.1,1.9,1.9,1.5,1.612684439,1.8,1.8,1.599636094,2018,2016Q3,Q3_2
211,2018_2016Q4,2,1.758333333,1.7,1,1.5,1.7,1.4,1.6,1.5,1.8,0.845572128,2018,2016Q4,Q4_2
