"condition","judge_draws","judgments_draw","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,3,11,16,62052.3265499321,43484.7972875721,18943.6354166667,17612.1483333333,0.9964,0.9872,"0.9916"
1,3,12,16,201085.77753934,19119.7117300897,19716.3177083333,19357.82,0.9919,0.9921,"0.9902"
1,3,13,16,28563.4128435877,28425.2995385178,18957.285,18957.285,0.996,0.9964,"No need to compare!"
1,3,14,16,37713.0353887085,33803.0380501721,28875.8425925926,20927.2516666667,0.9976,0.9991,"0.9991"
1,3,15,16,34498.6887687109,26887.798262797,18377.4661458333,16618.1216666667,0.9756,0.9791,"0.9772"
1,3,16,16,23648.4981774966,23571.7880853982,19843.3359375,19800.1133333333,0.9976,0.9981,"0.9982"
1,3,17,16,27005.4328137553,27014.7988715508,29775.4869791667,24333.0483333333,0.9975,0.9973,"0.9987"
1,3,18,16,16356.9305720758,16333.2189810209,15171.8583333333,15171.8583333333,0.9983,0.9995,"No need to compare!"
1,3,19,16,31151.2206575098,30909.9208115389,16806.8816666667,16806.8816666667,0.9993,0.9994,"No need to compare!"
1,3,20,16,44480.2755687145,25540.4969913948,25310.515625,24912.9,0.991,0.9723,"0.9989"
1,3,21,16,164916.770947829,34844.559061874,26719.2316666667,26719.2316666667,0.9919,0.9949,"No need to compare!"
1,3,22,16,56711.4192346141,18799.8205148214,19131.7383333333,19131.7383333333,0.9901,0.9974,"No need to compare!"
1,3,23,16,53878.1519970218,45127.7652300698,38550.4375,17790.56,0.9915,0.9846,"0.9945"
1,3,24,16,49735.656237783,48796.9533561734,20157.6666666667,14948.9766666667,0.9962,0.9932,"0.9978"
1,3,25,16,90711.1605482843,27485.485990128,25478.8203125,22557.1816666667,0.9918,0.9755,"0.9607"
1,3,26,16,826208.47962801,26769.046254785,19245.5625,18067.0816666667,0.9927,0.9916,"0.9841"
1,3,27,16,48785.2952676636,48905.4151237585,20664.7546296296,15849.45,0.9967,0.9964,"0.9965"
1,3,28,16,74023.9751001251,66079.0148201648,22142.0729166667,19893.0083333333,0.9603,0.8733,"0.9928"
1,3,29,16,32338.3098758294,32935.5598395587,33144.0601851852,23069.015,0.997,0.9866,"0.9997"
1,3,30,16,27278.169175401,27243.421617914,23134.2361111111,21289.1366666667,0.9989,0.9989,"0.9914"
1,3,31,16,20873.6184683842,20998.5652206694,22160.36,22160.36,0.9691,0.9919,"No need to compare!"
1,3,32,16,29557.3475241517,28370.4777657008,18151.4722222222,14845.9566666667,0.9981,0.9976,"0.9986"
1,3,33,16,33382.820369332,27104.1453802372,20740.8194444444,18172.5683333333,0.9976,0.992,"0.9959"
1,3,34,16,146841.552516331,40463.1697189653,23676.8425925926,17729.455,0.9915,0.9955,"0.9988"
1,3,35,16,40676.7686663436,30736.3984550484,20877.5182291667,20302.7666666667,0.9466,0.9687,"0.991"
1,3,36,16,441572.593155813,40261.0466235333,37761.9739583333,24738.7133333333,0.9908,0.9964,"0.9865"
1,3,37,16,18581.3867972275,18585.5564550602,18153.4333333333,18153.4333333333,0.9468,0.9444,"No need to compare!"
1,3,38,16,227561.10505982,33242.8128369582,27708.3796296296,22194.7733333333,0.9924,0.9995,"1"
1,3,39,16,42524.7574115905,30232.5786692397,21082.9192708333,19154.78,0.9848,0.9794,"0.9779"
1,3,40,16,40829.1377051728,40458.6863469651,25557.5598958333,25981.1116666667,0.9987,0.9735,"0.9999"
1,3,41,16,127386.738654045,32912.3090758664,19634.675,19634.675,0.991,0.9991,"No need to compare!"
1,3,42,16,22107.8991638167,22102.9318051687,21606.5442708333,21130.8016666667,0.9996,0.9999,"0.9995"
1,3,43,16,21243.8970244859,21231.3339261532,18819.6666666667,18141.0116666667,0.9986,0.9989,"0.9946"
1,3,44,16,20723.4619427221,20775.7919390939,20771.9453125,20928.7833333333,0.9994,0.9987,"0.998"
1,3,45,16,32608.8116592782,28183.143866037,28749.0185185185,22399.9533333333,0.9878,0.9892,"0.9887"
1,3,46,16,51065.9903602328,39702.3680153108,26437.8657407407,22461.32,0.9928,0.9776,"0.9786"
1,3,47,16,44131.5855512913,29452.8187953732,19211.625,17316.0233333333,0.9976,0.9248,"0.9667"
1,3,48,16,274701.642689442,24399.5740173027,24065.140625,21878.9366666667,0.9918,0.9835,"0.9959"
1,3,49,16,367642.967064767,14656.4761964054,14641.0494791667,13679.53,0.9904,0.9992,"0.9998"
